Fecha,C1,C2,C3,C4,C5,SB,Suma_cifras,Suma_total
2022-4-2,13,28,33,37,43,14,154,168
2022-3-30,22,29,30,33,40,3,154,157
2022-3-26,5,19,24,34,39,13,121,134
2022-3-23,16,18,28,30,34,1,126,127
2022-3-19,23,28,31,33,38,4,153,157
2022-3-16,2,13,16,34,38,16,103,119
2022-3-12,2,3,7,24,34,3,70,73
2022-3-9,7,9,21,32,35,7,104,111
2022-3-5,5,12,18,21,22,2,78,80
2022-3-2,3,4,9,19,26,15,61,76
2022-2-26,29,32,33,39,43,1,176,177
2022-2-23,17,20,23,32,40,2,132,134
2022-2-19,7,17,33,35,41,9,133,142
2022-2-16,5,8,9,21,42,8,85,93
2022-2-12,1,12,13,33,36,3,95,98
2022-2-9,2,3,8,15,33,6,61,67
2022-2-5,2,11,12,24,43,12,92,104
2022-2-2,3,14,15,19,31,7,82,89
2022-1-29,18,24,29,40,41,5,152,157
2022-1-26,22,24,31,33,34,13,144,157
2022-1-22,12,14,35,38,40,1,139,140
2022-1-19,22,24,34,38,43,6,161,167
2022-1-15,1,5,9,21,24,10,60,70
2022-1-12,2,12,17,30,32,1,93,94
2022-1-8,9,16,18,21,27,5,91,96
2022-1-5,20,21,38,40,43,5,162,167
2022-1-1,2,8,21,38,43,7,112,119
2021-12-29,16,17,24,26,28,4,111,115
2021-12-25,14,15,26,28,40,14,123,137
2021-12-22,5,20,35,38,43,2,141,143
2021-12-18,3,16,22,26,40,12,107,119
2021-12-15,7,25,34,42,43,2,151,153
2021-12-11,9,16,19,29,39,1,112,113
2021-12-8,9,25,33,35,40,7,142,149
2021-12-4,25,27,31,42,43,14,168,182
2021-12-1,9,11,15,20,35,2,90,92
2021-11-27,6,20,24,30,40,16,120,136
2021-11-24,4,7,19,33,39,8,102,110
2021-11-20,1,4,12,13,33,13,63,76
2021-11-17,1,11,22,32,33,12,99,111
2021-11-13,11,12,28,29,32,13,112,125
2021-11-10,5,7,23,34,43,11,112,123
2021-11-6,3,19,26,32,43,11,123,134
2021-11-3,4,12,35,39,43,14,133,147
2021-10-30,12,19,31,42,43,2,147,149
2021-10-27,6,9,16,17,26,6,74,80
2021-10-23,1,2,18,19,23,7,63,70
2021-10-20,13,14,18,21,39,13,105,118
2021-10-16,6,10,25,26,27,6,94,100
2021-10-13,2,10,15,22,25,6,74,80
2021-10-9,4,8,12,27,41,6,92,98
2021-10-6,10,20,25,30,36,16,121,137
2021-10-2,19,30,38,39,41,1,167,168
2021-9-29,4,9,13,18,25,9,69,78
2021-9-25,6,7,23,36,43,10,115,125
2021-9-22,8,23,27,33,42,9,133,142
2021-9-18,12,24,34,37,40,8,147,155
2021-9-15,4,22,28,35,37,16,126,142
2021-9-11,7,12,27,35,41,8,122,130
2021-9-8,11,19,28,32,36,6,126,132
2021-9-4,8,15,30,36,41,14,130,144
2021-9-1,7,12,20,23,32,1,94,95
2021-8-28,3,20,27,40,43,1,133,134
2021-8-25,3,7,9,17,39,8,75,83
2021-8-21,8,13,22,24,30,10,97,107
2021-8-18,6,9,19,37,39,15,110,125
2021-8-14,15,21,31,32,33,6,132,138
2021-8-11,3,11,22,27,39,2,102,104
2021-8-7,1,6,21,34,40,7,102,109
2021-8-4,1,8,19,29,40,7,97,104
2021-7-31,2,9,17,24,25,8,77,85
2021-7-28,8,19,28,36,40,14,131,145
2021-7-24,3,13,16,36,40,5,108,113
2021-7-21,3,7,23,35,36,10,104,114
2021-7-17,15,16,24,26,40,9,121,130
2021-7-14,20,24,27,29,36,1,136,137
2021-7-10,3,5,25,27,36,14,96,110
2021-7-7,5,17,21,26,31,7,100,107
